7049002859950544566,Add,194200,B,1000
7049002859949834292,Add,193900,B,600
7049002859951595308,Add,193900,B,500
7049002859951946885,Add,193800,B,250
7048606760888551522,Add,193400,B,415
7049002859949562099,Add,193000,B,165
7049002859949711804,Add,192900,B,600
7048606760885656359,Add,192500,B,466
7048606760887565108,Add,192500,B,1000
7048211211579985240,Add,192000,B,1500
7048606760887116928,Add,192000,B,260
7048606760887545370,Add,192000,B,1000
7049002859949613267,Add,192000,B,1000
7048606760886363235,Add,191200,B,1500
7046231815769794577,Add,191100,B,1000
7039898903673012550,Add,191000,B,160
7049002859951554606,Add,191000,B,600
7048211211577569575,Add,190700,B,200
7048606760885745442,Add,190700,B,1200
7047814287881041851,Add,190600,B,500
7044552311760963440,Add,190500,B,859
7040294727858246682,Add,190300,B,520
7048211211577854689,Add,190300,B,250
7043065772037667119,Add,190200,B,530
7047814287880895218,Add,190200,B,1000
7040690552043907517,Add,190100,B,250
7043065772037817237,Add,190100,B,1000
7041781542458397732,Add,190000,B,250
7042669672973607217,Add,190000,B,150
7043065772039963916,Add,190000,B,1000
7044552311760816658,Add,190000,B,1000
7045044343211673972,Add,190000,B,2000
7047814287881773907,Add,190000,B,500
7047814287882299007,Add,190000,B,1000
7048211211577563838,Add,190000,B,2631
7048606760887068222,Add,190000,B,1000
7048606760887540160,Add,190000,B,500
7048606760887963643,Add,190000,B,500
7049002859949561804,Add,190000,B,263
7048211211578931752,Add,190000,B,300
7040294727857581243,Add,189500,B,500
7043461871103578119,Add,189500,B,1000
7048211211579716545,Add,189500,B,200
7041781542456305303,Add,189100,B,49
7039898903673811152,Add,189000,B,400
7048211211577565318,Add,189000,B,250
7049002859949599767,Add,189000,B,1000
7049002859951697797,Add,188800,B,200
7048606760887072238,Add,188700,B,1000
7048211211577809041,Add,188300,B,250
7039502804608617025,Add,188100,B,1500
7043065772039022680,Add,188100,B,200
7042273299031764530,Add,188000,B,25
7033995350864196797,Add,188000,B,1000
7047814287881211852,Add,188000,B,500
7049002859949562335,Add,188000,B,1200
7049002859949562286,Add,187700,B,300
7037524233435668111,Add,187500,B,1000
7042273299032545722,Add,187500,B,1100
7045044343213242967,Add,187500,B,500
7049002859949565355,Add,187500,B,1000
7039898903674214215,Add,187100,B,1500
7040294727858712015,Add,187100,B,250
7048606760887637486,Add,187100,B,500
7047814287880581279,Add,187000,B,2000
7043065772039072975,Add,186900,B,200
7042273299033054806,Add,186800,B,668
7048211211577564276,Add,186500,B,200
7039898903672305366,Add,186000,B,1200
7041781542456242967,Add,186000,B,107
7044552311760140205,Add,186000,B,2000
7036731760428279080,Add,185500,B,500
7037524233434852272,Add,185100,B,500
7043065772040406555,Add,185000,B,1000
7045453636415110078,Add,185000,B,75
7046231815771653191,Add,185000,B,1000
7047814287880876360,Add,185000,B,5000
7047814287880881659,Add,185000,B,5000
7047814287882221720,Add,185000,B,500
7037919782741638087,Add,184500,B,500
7037919782744309145,Add,183500,B,100
7047814287880341936,Add,183000,B,10000
7045453636415110076,Add,182000,B,120
7041781542456243464,Add,181800,B,500
7039502804608005424,Add,181100,B,160
7037524233435037830,Add,181000,B,270
7039898903671617477,Add,181000,B,500
7033995350865107236,Add,181000,B,200
7045453636415109739,Add,180800,B,120
7047323081060229506,Add,180400,B,25
7039502804609694250,Add,180100,B,54
7033995350865253900,Add,180000,B,100
7037524233434582426,Add,180000,B,550
7041781542458271652,Add,180000,B,555
7042273299032617450,Add,180000,B,1000
